eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
2044.28,27.13,114,0.0002689433,0.01171875,0.19423527,-0.0035109932,0.00167575,0.9631375335156918,3509,449152,8581.023451293993,898304
2044.28,27.13,111,0.0019882978,0.080729164,0.28233066,-0.006867718,0.0022961895,0.954803541302681,3510,449280,8583.314595617994,898560
2044.28,27.13,113,0.00055343355,0.028645834,0.22394723,-0.0042093857,0.0022576975,0.9521799609065056,3511,449408,8585.566637115,898816
2044.28,27.13,110,0.00034520242,0.015625,0.31743652,-0.0022214616,0.0046251197,0.9371975436806679,3512,449536,8587.879696588992,899072
2044.28,27.13,110,0.0006474407,0.01953125,0.22403227,-0.0019936892,0.0014271006,0.9655097015202045,3513,449664,8590.19053623898,899328
2044.21,27.14,110,0.00067909266,0.029947916,0.31298855,-0.0023415564,0.030793956,0.6815904676914215,3514,449792,8592.502889758995,899584
2044.21,27.14,113,0.00073447777,0.040364582,0.27599266,-0.0036789998,0.0017474309,0.9625694379210472,3515,449920,8594.760546873993,899840
2044.21,27.14,113,0.00014809387,0.0065104165,0.2421263,-0.0009465895,0.0013807156,0.9722597878426313,3516,450048,8597.020630344981,900096
2044.21,27.14,112,0.00018997576,0.01171875,0.24511744,-0.0014587153,0.0020044122,0.9540893062949181,3517,450176,8599.30027553998,900352
2044.21,27.14,112,0.00030344896,0.014322917,0.27324507,-0.002039863,0.002495627,0.9415902979671955,3518,450304,8601.578173226007,900608
2044.21,27.14,111,0.00023449255,0.009114583,0.3000848,-0.0030920294,0.0017870789,0.9678889475762844,3519,450432,8603.883961860993,900864
2044.21,27.14,112,0.00030967183,0.013020833,0.2824982,-0.003046007,0.0023656134,0.9616521820425987,3520,450560,8606.161730841006,901120
2044.21,27.14,110,0.0004365395,0.022135416,0.36162564,-0.0024420433,0.005576266,0.9088792279362679,3521,450688,8608.477582485997,901376
2044.21,27.14,113,0.0001637397,0.01171875,0.25917906,-0.0018450782,0.0016872023,0.9670074172317982,3522,450816,8610.727045540989,901632
2044.21,27.14,108,0.00031213506,0.010416667,0.22047722,-0.0022139186,0.0012966573,0.9691168908029795,3523,450944,8613.084039807989,901888
2044.21,27.14,109,0.00036842006,0.01953125,0.27116504,-0.0025425728,0.0014743059,0.9718558732420206,3524,451072,8615.420457284985,902144
2044.21,27.14,104,0.00015837266,0.0065104165,0.19637607,-0.0015080441,0.0011967736,0.9718427043408155,3525,451200,8617.870430801006,902400
2044.21,27.14,88,0.0005176314,0.026041666,0.29553452,-0.002809123,0.002053009,0.9529218897223473,3526,451328,8620.757770698983,902656
2044.21,27.14,108,0.00037743256,0.01171875,0.3132996,-0.0022485985,0.0012257749,0.9763684794306755,3527,451456,8623.121817678999,902912
2044.21,27.14,110,0.0002386461,0.009114583,0.29721025,-0.0031960087,0.00280956,0.9361436441540718,3528,451584,8625.436086762988,903168
2044.21,27.14,109,0.00033983725,0.015625,0.2366423,-0.002623752,0.004780811,0.9062573835253716,3529,451712,8627.765474855987,903424
2044.22,27.17,108,0.00041496233,0.010416667,0.2572264,-0.0021826837,0.031064985,0.7374777793884277,3530,451840,8630.135162966006,903680
2044.22,27.17,108,0.0003818943,0.018229166,0.27801192,-0.003080926,0.0028580104,0.9284427762031555,3531,451968,8632.486455475999,903936
2044.22,27.17,110,0.0002890806,0.013020833,0.25834262,-0.0034027149,0.0015163957,0.9674610979855061,3532,452096,8634.798310479004,904192
2044.22,27.17,112,0.00031282517,0.024739584,0.21605785,-0.0023858524,0.0022768704,0.9531165845692158,3533,452224,8637.075018817995,904448
2044.22,27.17,112,0.00023087725,0.015625,0.25153366,-0.0027758006,0.0011380826,0.9729260932654142,3534,452352,8639.345368929993,904704
2044.22,27.17,112,0.00016647483,0.0052083335,0.44607973,-0.003004698,0.0025194376,0.9625472202897072,3535,452480,8641.614830720006,904960
2044.22,27.17,112,0.0006315809,0.026041666,0.28201345,-0.0021542965,0.0021899382,0.9578506462275982,3536,452608,8643.881339140004,905216
2044.22,27.17,112,0.0006989389,0.032552082,0.341831,-0.0030959554,0.0022724136,0.9618396237492561,3537,452736,8646.153758472996,905472
2044.22,27.17,109,0.00016349969,0.009114583,0.2316479,-0.0024075431,0.0031695033,0.9318487793207169,3538,452864,8648.500193622982,905728
2044.22,27.17,111,0.00023941368,0.0065104165,0.24396424,-0.0020578285,0.0016139228,0.9674509540200233,3539,452992,8650.805494879984,905984
2044.22,27.17,112,0.00024020835,0.0078125,0.2846543,-0.0025262618,0.0023950855,0.9463231414556503,3540,453120,8653.084229850007,906240
2044.22,27.17,113,0.00012217976,0.00390625,0.19603153,-0.0020031729,0.0066815023,0.8376500606536865,3541,453248,8655.348196645005,906496
2044.22,27.17,112,0.00062209263,0.03125,0.35158357,-0.0026565678,0.0019809257,0.9580635093152523,3542,453376,8657.619346780004,906752
2044.22,27.17,111,0.0001701982,0.0013020834,0.32789582,-0.0011310778,0.0013314189,0.9729857258498669,3543,453504,8659.912921331008,907008
2044.22,27.17,112,0.00028510994,0.013020833,0.3111049,-0.0027956332,0.0033764776,0.9377131015062332,3544,453632,8662.189978927985,907264
2044.22,27.17,112,0.00020237837,0.0052083335,0.29039884,-0.0024566613,0.0050618993,0.894258938729763,3545,453760,8664.464968768007,907520
2044.21,27.15,109,0.00024169953,0.01171875,0.29426482,-0.0031022811,0.07533107,0.339999258518219,3546,453888,8666.803650679998,907776
2044.21,27.15,112,0.00018067476,0.0078125,0.28420147,-0.0022133815,0.002189318,0.9509538859128952,3547,454016,8669.08645129,908032
2044.21,27.15,113,0.00022254327,0.0078125,0.27018502,-0.0017515483,0.0015858005,0.9627055339515209,3548,454144,8671.350958467985,908288
2044.21,27.15,113,0.00032776853,0.016927084,0.27616808,-0.0038166924,0.002107671,0.9549937322735786,3549,454272,8673.61027346598,908544
2044.21,27.15,112,0.0008297575,0.044270832,0.2677408,-0.004343997,0.0013755079,0.9664689861238003,3550,454400,8675.880905155005,908800
2044.21,27.15,112,0.00017407932,0.009114583,0.3183675,-0.0024641159,0.0022463223,0.9582673348486423,3551,454528,8678.156115372985,909056
2044.21,27.15,112,0.00020569819,0.0065104165,0.26697835,-0.0029278349,0.0055380356,0.8774953186511993,3552,454656,8680.438546188001,909312
2044.21,27.15,112,0.0009020192,0.045572918,0.28560698,-0.003914312,0.0067284363,0.8299695998430252,3553,454784,8682.716296689992,909568
2044.21,27.15,112,0.0004210055,0.02734375,0.25128788,-0.0028924507,0.0018909806,0.965314507484436,3554,454912,8684.994327039982,909824
2044.21,27.15,110,0.00020011252,0.009114583,0.2787097,-0.001811449,0.001018863,0.976776210591197,3555,455040,8687.30397557799,910080
2044.21,27.15,110,0.00020039461,0.0065104165,0.26233622,-0.0024297165,0.0018102526,0.9620532132685184,3556,455168,8689.61605361398,910336
2044.21,27.15,110,0.00017641058,0.009114583,0.15022905,-0.0017615826,0.001081181,0.9754146598279476,3557,455296,8691.93320267499,910592
2044.21,27.15,103,0.00016862612,0.0026041667,0.34048545,-0.0024057147,0.001993601,0.9584972001612186,3558,455424,8694.417961767991,910848
2044.21,27.15,111,0.0003205899,0.014322917,0.2898518,-0.0031020697,0.0016384842,0.9672519341111183,3559,455552,8696.709623490984,911104
2044.21,27.15,111,0.0004517441,0.0234375,0.32782763,-0.00438132,0.0041769915,0.9321418553590775,3560,455680,8699.00754556898,911360
2044.21,27.15,112,0.00010813799,0.0026041667,0.2686664,-0.0010667128,0.003077986,0.928447924554348,3561,455808,8701.291387545003,911616
2044.21,27.23,107,0.000613101,0.015625,0.2902111,-0.0040225014,0.03322116,0.726509153842926,3562,455936,8703.665830446,911872
